geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
60513,il,19535,88.9,-87.84692,ZCTA5 60513,8642,41.82457,9,17,8,"list(c(-87.852294, -87.861776, -87.839931, -87.830694, -87.852294, 41.845801, 41.818009, 41.805636, 41.817406, 41.845801))"
60955,il,1820,100,-87.97656,ZCTA5 60955,1907,40.69742,14,28,14,"list(c(-88.125952, -88.123465, -88.031244, -88.006686, -87.998512, -87.93156, -87.867428, -87.841415, -87.881222, -88.009334, -88.050445, -88.125952, 40.778095, 40.705635, 40.685534, 40.659953, 40.629063, 40.629588, 40.630458, 40.712065, 40.740511, 40.736706, 40.779342, 40.778095))"
60187,il,30465,83.3,-88.11229,ZCTA5 60187,9210,41.87241,12,22,10,"list(c(-88.143356, -88.146323, -88.079566, -88.090895, -88.125477, -88.127456, -88.143356, 41.887861, 41.857291, 41.8592, 41.888446, 41.887762, 41.887737, 41.887861))"
61732,il,2016,106.3,-89.20315,ZCTA5 61732,1479,40.53118,16,33,17,"list(c(-89.297232, -89.266499, -89.266181, -89.151858, -89.124606, -89.117823, -89.19337, -89.269638, -89.297232, 40.572324, 40.485552, 40.471028, 40.455849, 40.460171, 40.545957, 40.595694, 40.602509, 40.572324))"
62932,il,1164,66.7,-89.21403,ZCTA5 62932,1676,37.90345,30,50,20,"list(c(-89.283439, -89.283884, -89.151176, -89.137582, -89.177597, -89.234063, -89.262761, -89.282484, -89.283439, 37.862943, 37.849575, 37.861999, 37.917749, 37.950311, 37.940652, 37.935802, 37.922303, 37.862943))"
62424,il,2447,85.7,-88.42237,ZCTA5 62424,2191,38.98972,21,39,18,"list(c(-88.539157, -88.539636, -88.469935, -88.380321, -88.33629, -88.323893, -88.362164, -88.360504, -88.46775, -88.451679, -88.503846, -88.539157, 38.973052, 38.946308, 38.92753, 38.896731, 38.879873, 38.945357, 38.946303, 39.089872, 39.073087, 39.015679, 39.009037, 38.973052))"
61285,il,2338,100,-90.05958,ZCTA5 61285,1460,41.97811,11,22,11,"list(c(-90.1636189266522, -90.1467541080021, -90.1518383787674, -90.016493, -89.978437, -89.978709, -90.020582, -90.105126, -90.1636189266522, 42.0871018738134, 41.9806469989526, 41.92891733574, 41.930455, 41.931187, 42.004069, 42.00739, 42.021578, 42.0871018738134))"
62442,il,2672,94.7,-87.85504,ZCTA5 62442,3015,39.31185,19,37,18,"list(c(-87.94138, -87.938629, -87.961639, -87.925613, -87.897552, -87.929461, -87.91412, -87.894372, -87.839803, -87.798796, -87.783487, -87.746746, -87.750585, -87.835484, -87.869885, -87.848663, -87.872226, -87.94138, 39.445295, 39.379707, 39.368551, 39.3495, 39.263601, 39.242458, 39.184875, 39.163655, 39.198986, 39.163443, 39.223181, 39.243455, 39.34012, 39.367529, 39.41365, 39.476401, 39.482854, 39.445295))"
61749,il,555,105.9,-89.11034,ZCTA5 61749,540,40.09496,17,35,18,"list(c(-89.146125, -89.172875, -89.145246, -89.144372, -89.123229, -89.058402, -89.057452, -89.062097, -89.146125, 40.144162, 40.100438, 40.085215, 40.020114, 40.019995, 40.046584, 40.071622, 40.152493, 40.144162))"
62547,il,924,111.1,-89.24893,ZCTA5 62547,981,39.76895,18,38,20,"list(c(-89.34584, -89.270317, -89.23487, -89.104827, -89.104682, -89.122902, -89.217473, -89.298421, -89.321355, -89.34584, 39.72806, 39.714546, 39.764644, 39.797109, 39.801681, 39.801543, 39.813666, 39.786618, 39.771955, 39.72806))"
61368,il,1294,107.7,-89.52293,ZCTA5 61368,1654,41.26305,13,27,14,"list(c(-89.625618, -89.625553, -89.5148, -89.520708, -89.482731, -89.466389, -89.399657, -89.405439, -89.51243, -89.597186, -89.625618, 41.307182, 41.241191, 41.228779, 41.172318, 41.163092, 41.233872, 41.233539, 41.269874, 41.316447, 41.321759, 41.307182))"
61568,il,4460,120,-89.47865,ZCTA5 61568,2773,40.50537,15,33,18,"list(c(-89.502767, -89.531018, -89.582293, -89.582779, -89.57467, -89.492087, -89.418839, -89.38132, -89.382795, -89.495481, -89.502767, 40.563491, 40.520812, 40.515783, 40.450431, 40.438015, 40.442454, 40.479314, 40.483681, 40.556511, 40.568212, 40.563491))"
